peak_ground_acceleration,density,internal_friction_angle,rock_cohesion,slope,m_before,m_after,time
0.9,26.5,44,40,33.0046997,0,0.737017301,2011
0.92,26.5,44,40,30.1350994,0,0.737017301,2011
0.86,26.2,42,39,40.8569984,0,0.804695506,2011
0.9,26.5,44,40,45.5564003,0,0.833958769,2011
0.88,26.5,44,40,48.7971001,0,0.833958769,2011
0.88,26.5,44,40,41.5298996,0,0.833958769,2011
0.9,26.5,44,40,39.4473991,0,0.833958769,2011
0.9,26.5,44,40,39.8921013,0,0.833958769,2011
0.88,26.5,44,40,47.4608002,0,0.833958769,2011
0.88,26.5,44,40,41.4860001,0,0.833958769,2011
0.88,26.5,44,40,37.355999,0,0.833958769,2011
0.88,26.5,44,40,37.4309006,0,0.833958769,2011
0.88,26.5,44,40,48.7812004,0,0.833958769,2011
0.86,26.2,42,39,41.1850014,0,0.804695506,2011
0.88,26.5,44,40,42.580101,0,0.833958769,2011
0.88,26.5,44,40,46.9874001,0,0.833958769,2011
0.88,26.5,44,40,38.0834007,0,0.833958769,2011
0.88,26.5,44,40,38.4981003,0,0.833958769,2011
0.86,26.5,44,40,41.7388,0,0.833958769,2011
0.86,26.5,44,40,38.0839996,0,0.833958769,2011
0.86,26.5,44,40,42.4149017,0,0.833958769,2011
0.86,26.5,44,40,55.6223984,0,0.833958769,2011
0.88,26.5,44,40,37.0279007,0,0.833958769,2011
0.88,26.5,44,40,69.8720016,0,0.833958769,2011
0.84,26.2,42,39,34.9075012,0,0.804695506,2011
0.86,26.5,44,40,43.9417,0,0.804695506,2011
0.86,26.5,44,40,39.155201,0,0.804695506,2011
0.84,26.5,44,40,43.4261017,0,0.833958769,2011
0.84,26.5,44,40,38.6893997,0,0.804695506,2011
0.82,26.5,44,40,36.2547989,0,0.833958769,2011
0.84,26.5,44,40,41.3208008,0,0.833958769,2011
0.82,26.5,44,40,46.4463997,0,0.833958769,2011
0.82,26.5,44,40,49.521801,0,0.833958769,2011
0.82,26.5,44,40,48.9014015,0,0.833958769,2011
0.82,26.5,44,40,48.4838982,0,0.833958769,2011
0.84,26.2,42,39,41.9301987,0,0.804695506,2011
0.82,26.5,44,40,39.8296013,0,0.833958769,2011
0.82,26.5,44,40,42.8320999,0,0.804695506,2011
0.8,26.5,44,40,45.6836014,0,0.833958769,2011
0.82,26.5,44,40,41.1973,0,0.833958769,2011
0.8,26.5,44,40,42.7515984,0,0.833958769,2011
0.8,26.5,44,40,44.9448013,0,0.833958769,2011
0.8,26.5,44,40,40.1599998,0,0.804695506,2011
0.82,26.2,42,39,47.7713013,0,0.804695506,2011
0.82,26.2,42,39,39.2625008,0,0.804695506,2011
0.82,26.2,42,39,36.3275986,0,0.804695506,2011
0.84,26.2,42,39,46.257,0,0.804695506,2011
0.8,26.2,42,39,40.6358986,0,0.804695506,2011
0.8,26.2,42,39,34.2019005,0,0.804695506,2011
0.8,26.2,42,39,36.4887009,0,0.804695506,2011
0.78,26.2,42,39,43.8595009,0,0.804695506,2011
0.78,26.2,42,39,38.2122993,0,0.804695506,2011
0.78,26.2,42,39,29.9986,0,0.804695506,2011
0.78,26.2,42,39,42.1066017,0,0.804695506,2011
0.8,26.2,42,39,43.3932991,0,0.804695506,2011
0.82,26.5,44,40,44.9712982,0,0.873435444,2011
0.82,26.5,44,40,37.5228004,0,0.831381618,2011
0.84,26.2,42,39,36.2159996,0,0.804695506,2011
0.82,26.5,44,40,37.2518005,0,0.831381618,2011
0.84,26.5,44,40,55.8998985,0,0.831381618,2011
0.86,26.5,44,40,44.7565002,0,0.831381618,2011
0.88,26.5,44,40,37.0633011,0,0.737017301,2011
0.88,26.5,44,40,55.4427986,0,0.737017301,2011
0.88,26.5,44,40,44.5215988,0,0.737017301,2011
0.88,26.5,44,40,46.1523018,0,0.737017301,2011
0.84,26.5,44,40,46.9776001,0,0.743171251,2011
